,Final Portfolio Value
0,151039.28421155462
1,133385.77657730447
2,140406.3860118849
3,122885.45225277742
4,99670.60290908198
5,95128.99161906204
6,103090.34860751178
7,93832.41416747402
8,92989.10254262672
9,120954.71705032031
10,140390.5321260873
11,126368.39282338324
12,96132.02880833526
13,92845.8809071737
14,142965.0759233367
15,114103.59020805152
16,106282.41753231926
17,92589.12223964704
18,92250.14861569692
19,134138.0274295366
20,117381.15324672851
21,118790.97569458898
22,158793.48738797932
23,102012.73213752324
24,198705.01033520477
25,126150.81078659769
26,108268.67531449729
27,146806.4168404324
28,109806.22704862578
29,123340.18262595717
30,103580.04466655209
31,82848.99697915737
32,97553.62952609015
33,111049.42008555791
34,138951.1500488933
35,83922.91527757612
36,115003.92602897291
37,95405.4893481371
38,168351.9575688298
39,86667.42292670134
40,130587.8754201655
41,118557.76623680104
42,139597.15388932987
43,142071.21537441507
44,82664.63866017807
45,107071.1134101147
46,129295.32708903961
47,89584.72772571717
48,113591.79235778326
49,178894.91602127324
50,162748.9337109618
51,97699.86576476773
52,108193.9353501576
53,123250.59394732036
54,108675.73481054069
55,134740.81746820745
56,74475.1833363681
57,123907.90910030951
58,137464.06299697218
59,152274.4884224975
60,74489.20972423945
61,95014.25137354419
62,150611.4294247361
63,129938.96269340639
64,109264.13032595976
65,155246.49180392228
66,136334.83836636448
67,116000.7905942142
68,134747.2341264077
69,101886.13550031204
70,188807.76550115828
71,130085.35087476538
72,89990.9434256066
73,155142.38189353578
74,129806.55451826986
75,73217.41324283657
76,114631.56729592594
77,148927.68395133264
78,84555.70002615133
79,86064.30037607873
80,176262.94794366145
81,157324.90911375044
82,133087.0100097364
83,172760.8675717321
84,91268.66447170716
85,149830.53750255017
86,162903.84268939708
87,126525.05814675141
88,102364.34390085531
89,108734.34179789425
90,97735.40537012
91,140619.4616170891
92,121253.64306690318
93,117824.27914364592
94,126936.69136282173
95,124856.04892777117
96,146114.80006893884
97,104730.86135869156
98,108096.02383506611
99,103133.61920251827
100,158172.88308173275
101,71400.3442560328
102,79953.06119563758
103,170859.57591088035
104,159012.46365448282
105,139361.44083673836
106,112932.41766209899
107,162674.8015177706
108,93096.76879146563
109,211504.80100678562
110,120025.57170173798
111,151141.41972574696
112,81765.88667580187
113,136732.32680946263
114,97280.69034320279
115,147992.3314806983
116,115618.86839723469
117,150738.88616005707
118,138265.27460551597
119,119893.71780165247
120,113204.55173629307
121,141705.34413219354
122,140613.37881555653
123,153300.16042610214
124,147549.4008334024
125,77818.94647345478
126,145465.6002665508
127,126756.61843505038
128,128923.25550730362
129,134572.58814632727
130,121227.03722472102
131,136752.48068394695
132,108451.44709544754
133,108339.94462353995
134,193409.43072078982
135,108901.08230513595
136,163022.9823984187
137,143023.14615735228
138,130158.27677324778
139,198961.56745777294
140,164524.65577532933
141,100201.25306507295
142,131060.90205366873
143,149717.41843719993
144,158746.49902966066
145,162432.00529496087
146,82543.37893970565
147,126332.39161367502
148,137022.3401269375
149,113469.85702475625
150,127385.17668640996
151,116339.32783571226
152,98313.50838732174
153,121299.5754331675
154,67083.84152517398
155,139417.61253745845
156,115872.96509005029
157,116792.24648355422
158,161222.21437215904
159,165493.98368892475
160,149005.62187164748
161,109343.60858451306
162,111576.31819782994
